,FERARI__T-end,Decay%__T-end,Cracks__T-end,Acceptance_Score__T-end,Firmness___T-end,Bleaching__T-end,Cluster weight__T-end,weight_loss__T-end,Shattering(%)__T-end,FER_RG__T-end,Shatter__T-end,Decay__T-end,Rachis_Score__T-end
121,0.6255,0.0,1,3.5,1.951621,1,623.66,1.6882891687816315,0.0,4.044,0,0.0,0.4
122,0.522,0.0,1,4.0,2.0738662,1,580.44,2.3009207049199576,0.17228309558266142,3.962,1,0.0,0.3
123,0.5248,0.0,1,4.5,2.0087158,1,649.14,1.7377614967757589,0.0,5.268,0,0.0,0.1
124,0.4711,0.0,1,4.5,2.0393898,1,654.64,2.1362474399413935,0.0,4.533,0,0.0,0.1
125,0.5083,0.0,1,4.5,2.0842248,1,688.88,2.082356118431336,0.1451631633956567,4.732,1,0.0,0.2
126,0.4041,2.3133908070874667,2,4.0,1.9185557999999998,1,692.49,2.4015897847871077,0.1444064174211902,5.123,1,2.0,0.2
127,0.4897,3.90059409797747,1,3.5,3.5068418,1,616.06,1.780845941680097,0.32464370353537,3.883,2,3.0,0.2
128,0.4064,2.323928338289693,1,4.0,3.0252306,1,689.35,1.649284501576514,0.0,3.656,0,2.0,0.2
129,0.3648,0.0,1,4.0,2.6561920000000003,1,710.76,1.6480551288970025,0.0,2.877,0,0.0,0.3
130,0.4893,1.2130665899350306,1,4.0,1.7498292,1,660.31,1.5931445603576833,0.0,2.969,0,1.0,0.15
131,0.3531,1.1770929771194287,2,4.0,3.0085509999999998,1,680.49,1.4653711935824856,0.44085879292862495,2.907,3,1.0,0.2
132,0.6046,3.6792626163645266,1,3.5,1.9112057999999998,1,653.12,2.920760438188382,0.3062224399804018,3.919,2,3.0,0.3
133,0.391,1.1494417817065121,1,4.0,1.6345126,1,696.86,2.6160596998239227,0.2870016933099905,4.267,2,1.0,0.2
134,0.5136,0.0,1,4.0,2.7841506,1,674.92,1.4830384772581422,0.0,3.618,0,0.0,0.3
135,0.344,0.0,1,4.5,3.0589915999999997,1,667.15,1.8449587311862872,0.0,3.117,0,0.0,0.15
136,0.4197,0.0,1,4.0,1.9943686,1,663.1,2.423591388672252,0.3016136329362087,2.997,2,0.0,0.2
137,0.3952,0.0,1,4.5,2.6434716000000003,1,689.88,1.7194956905762586,0.0,3.091,0,0.0,0.15
138,0.4207,0.0,1,3.5,2.6803784,1,686.2,2.5505566916609754,0.1457301078402798,3.123,1,0.0,0.6
139,0.4243,0.0,1,4.0,2.4487064,1,693.88,1.733416416473122,0.0,4.425,0,0.0,0.2
140,0.546992,1.40538643740679,2,4.0,1.6033584,3,569.95,1.6343930137033436,0.17545398719185892,3.183,1,1.0,0.4
141,0.7303200000000001,1.1982587101889388,2,3.0,1.408358,2,668.47,2.8386627906976702,0.0,3.354,0,1.0,0.6
142,0.529448,0.0,2,3.0,2.6629441999999997,1,668.56,2.429911997781715,0.0,4.114,0,0.0,0.7
143,0.61948,1.2857968408886604,1,3.5,1.514296,1,622.96,2.3405289313204394,0.16052395017336585,5.053,1,1.0,0.4
144,0.55862,1.1517556725045293,1,3.5,1.839656,1,695.46,1.3475941897412618,0.0,4.674,0,1.0,0.4
145,0.8030800000000001,6.185041619693296,1,3.5,2.842686,1,647.53,1.6808381415123066,0.0,4.311,0,5.0,0.4
146,0.6058800000000001,2.250727060707813,1,3.0,1.4374934,1,711.77,1.588640322982055,0.2809896455315622,4.071,2,2.0,0.7
147,0.68068,0.0,2,3.0,1.8671645999999997,1,634.84,2.687125404295104,0.15752000504064015,3.714,1,0.0,0.6
148,0.5937760000000001,1.1278195488721803,2,3.5,2.915451,1,710.22,1.8558695501969116,0.0,3.976,0,1.0,0.5
149,0.544544,1.1428979096811014,1,3.5,2.3364474,1,700.85,1.489914962400734,0.0,3.635,0,1.0,0.4
150,0.46464400000000006,0.0,1,4.0,2.4727654,1,655.57,1.6207212209433128,0.0,2.763,0,0.0,0.4
151,0.7786000000000001,2.4724129948298477,1,3.0,1.359946,1,647.95,2.799237935224489,0.0,4.135,0,2.0,0.6
152,0.52598,0.0,2,3.5,1.7771613999999998,1,676.97,1.9282030480384693,0.0,3.648,0,0.0,0.5
153,0.648244,0.0,2,3.0,1.5020753999999998,2,688.12,2.1180353053299363,0.0,3.849,0,0.0,0.4
154,0.544204,0.0,1,3.0,1.5375807999999997,1,721.64,3.1810558797880235,0.0,4.714,0,0.0,0.6
155,0.7357600000000001,7.84986279890239,2,3.5,1.721174,2,714.28,2.4380915957548552,0.0,5.441,0,7.0,0.4
156,0.504356,0.0,1,3.5,2.6007436,1,575.06,1.2975867632419176,0.17389489792369492,4.297,1,0.0,0.5
157,0.6650400000000001,0.0,1,3.5,1.6228604,1,627.93,0.8385446276293442,0.9555205198031628,3.714,6,0.0,0.5
158,0.617372,0.0,1,4.0,2.1608706,1,662.53,2.3925630184009323,0.0,5.062,0,0.0,0.3
159,0.6196160000000001,1.3011907275946653,1,3.5,3.094938,1,615.59,1.4314764703056604,0.0,3.671,0,1.0,0.5
160,0.5284960000000001,0.0,1,3.5,1.9889492,1,691.36,1.1693398519026719,0.0,2.999,0,0.0,0.4
161,0.582488,0.0,1,3.5,2.469551,1,656.22,2.1924790961799183,0.0,2.842,0,0.0,0.6
162,0.39603200000000005,0.0,1,3.5,2.4835258,2,604.12,1.5962991920771366,0.0,2.215,0,0.0,0.4
163,0.5127200000000001,3.4425454493359884,1,3.0,2.1509334,1,698.03,3.65887321610953,0.0,4.764,0,3.0,0.5
164,0.557532,1.3658453406087476,1,3.5,1.744743,2,586.45,3.4809084924292257,0.1705175206752494,3.356,1,1.0,0.5
165,0.591804,0.0,1,3.0,1.8566197999999998,1,662.55,1.8022557839664568,0.0,4.019,0,0.0,0.8
166,0.6086680000000001,1.1611388147976343,1,3.5,2.2869672,1,689.84,2.046148384806527,0.14496115041168967,4.214,1,1.0,0.4
167,0.5469240000000001,1.1853846950705162,1,4.0,2.5381412,1,675.73,1.7291527297053584,0.0,4.001,0,1.0,0.4
168,0.4782,14.960544132982614,2,3.0,1.970437,1,642.49,2.5674077219374527,0.0,3.004,0,12.0,0.2
169,0.5878,4.978634138761557,2,2.5,2.8140896,1,643.55,1.6144073626760114,0.621552326936524,3.797,4,4.0,0.4
170,0.4129,1.220552829671167,1,3.0,1.6649416,1,656.26,5.967818200054445,0.30475726084173954,3.179,2,1.0,0.4
171,0.6345,0.0,2,3.5,1.3412672,1,659.11,2.753146347581033,0.3034394865803887,3.851,2,0.0,0.3
