,week_T-0,FERARI__T-0,VPD__T-0,TSS__T-0,Cracking index__T-0,Acceptance_Score__T-0,Shattering(%)__T-0,FER_RG__T-0,weight__T-0,Rachis_Score__T-0,Firmness__T-0,berry weight__T-0
54,6,1.145,0.097,16.1,1,5.0,0,5.131,490.33,0.0,1.9124065078382826,16.1
55,6,0.7861,0.097,16.1,1,5.0,0,4.277,601.41,0.1,2.372161704004914,16.1
56,9,0.7729,0.091,17.8,1,5.0,0,2.784,759.45,0.0,2.188390513013084,17.8
57,9,0.6417,0.091,17.7,1,5.0,0,5.665,730.99,0.0,2.475218952189436,17.7
58,9,0.7867,0.091,18.9,1,5.0,0,5.187,587.89,0.0,2.493835292181868,18.9
59,9,0.7007,0.091,18.6,1,5.0,0,2.514,681.95,0.0,1.469589962632988,18.6
60,9,0.364,0.091,19.6,1,5.0,0,2.848,760.04,0.0,1.9627972612984341,19.6
61,9,0.6503,0.091,17.0,1,5.0,0,2.839,651.25,0.0,2.1820596633304543,17.0
62,9,0.6032,0.091,18.1,1,5.0,0,4.688,686.78,0.0,2.3208826534875273,18.1
63,9,0.7366,0.091,18.6,1,5.0,0,3.543,723.39,0.0,2.1301381919444107,18.6
64,9,0.6957,0.091,20.1,1,5.0,0,3.296,553.11,0.0,2.366813434730028,20.1
65,9,0.5613,0.091,18.3,1,5.0,0,4.886,636.64,0.0,1.5018931023408102,18.3
66,9,0.569,0.091,18.9,1,5.0,0,2.854,738.84,0.0,1.9531905273589432,18.9
67,9,0.6938,0.091,18.1,1,4.5,0,5.243,639.08,0.0,1.8925459973577763,18.1
68,9,0.8967,0.091,18.5,1,5.0,0,3.871,631.09,0.0,1.8767942073969504,18.5
69,9,1.016,0.091,19.4,1,5.0,0,4.135,705.92,0.0,1.3753269477497576,19.4
70,9,0.7535,0.091,17.8,1,5.0,0,3.108,618.79,0.0,1.900658062887746,17.8
71,9,0.7296,0.091,18.7,1,5.0,0,4.239,559.24,0.0,1.8007288035083084,18.7
72,9,0.6734,0.091,18.5,1,4.5,0,3.782,524.83,0.0,1.5561836739950068,18.5
