,Acceptance Score,Rachis Score,Decay
Linear Regression_Storage,0.1475428944728626,0.13669250156228605,0.15256732633561151
Linear Regression,0.1478247748796657,0.13052404303312173,0.15990345705561712
SVM,0.1511249983367393,0.1275484194756549,0.16801080996463283
Gradient Boosting,0.15296409608694192,0.1285777848456801,0.185659871193227
Random Forest,0.1434081684485852,0.12804609939950756,0.17492224139181095
ANN,0.1365202279866489,0.1220925814343475,0.14557378444657515
MTPS-ANN,0.13870631179895856,0.123751559337993,0.15055740973103007
